raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
15,Adadk,,,,,,,,Adadk,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
16,Adalah Chain,,,,,,,,Adalah Chain,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
17,Adam,,,,,,,,Adam,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
18,Adel,,,,,,,,Adel,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
19,Administration of Technology Park of Software and IT LLC,,,,,,,,Administration of Technology Park of Software and IT LLC,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
20,Administrative Expertise Company,,,,,,,,Administrative Expertise Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
21,Adobe Regional Headquarters,,,,,,,,Adobe Regional Headquarters,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
22,Advanced Centennial Information Technology (ACIT),,,,,,,,Advanced Centennial Information Technology (ACIT),"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
23,Advanced Intelligence Computing Company,,,,,,,,Advanced Intelligence Computing Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
24,Advanced Sariat Company for Property Management,,,,,,,,Advanced Sariat Company for Property Management,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
25,Advanced Semiconductor Chips,,,,,,,,Advanced Semiconductor Chips,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
26,Afaaq Al Hawsiba Information Technology,,,technology_ai,,,,,Afaaq Al Hawsiba Information Technology,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
27,Agellus Tank Robotics,,,technology_ai,,,,,Agellus Tank Robotics,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
28,"AgiBot Innovation (Shanghai) Technology Co., Ltd.",,,technology_ai,,,,,"AgiBot Innovation (Shanghai) Technology Co., Ltd.","Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
29,Agilepoint,,,technology_ai,,,,,Agilepoint,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
30,Agronomy Oy,,,technology_ai,,,,,Agronomy Oy,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
31,AhP-Tech Inc.,,,technology_ai,,,,,AhP-Tech Inc.,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
32,AI ELEMENTS,,,technology_ai,,,,,AI ELEMENTS,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
33,Ai Geo Navigators,,,technology_ai,,,,,Ai Geo Navigators,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
34,"AI Pass Line Co., Ltd.",,,technology_ai,,,,,"AI Pass Line Co., Ltd.","Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
35,Aiden Automotive Technologies,,,technology_ai,,,,,Aiden Automotive Technologies,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
36,Aikido Security,,,technology_ai,,,,,Aikido Security,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
37,Ailytics,,,technology_ai,,,,,Ailytics,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
38,AISC LLC,,,technology_ai,,,,,AISC LLC,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
39,AiTech - USA,,,technology_ai,,,,,AiTech - USA,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
40,Ajalty Auto Parts Trading,,,technology_ai,,,,,Ajalty Auto Parts Trading,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
41,Ajlan Tech,,,technology_ai,,,,,Ajlan Tech,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
42,Aktham Data Analysis,,,technology_ai,,,,,Aktham Data Analysis,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
43,Al Maalim International Technology Co.,,,technology_ai,,,,,Al Maalim International Technology Co.,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
44,Al Manafa,,,technology_ai,,,,,Al Manafa,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
45,Al Moammar Information Systems Co.,,,technology_ai,,,,,Al Moammar Information Systems Co.,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
46,Al Mothamen,,,technology_ai,,,,,Al Mothamen,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
47,Al Yusr Leasing and Financing,,,technology_ai,,,,,Al Yusr Leasing and Financing,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
48,Al-Babtain Leblanc Telecommunication Systems Ltd,,,technology_ai,,,,,Al-Babtain Leblanc Telecommunication Systems Ltd,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
49,ALAF Digital,,,technology_ai,,,,,ALAF Digital,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
50,Alanafitha IT,,,technology_ai,,,,,Alanafitha IT,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
51,AlasilaCX,,,technology_ai,,,,,AlasilaCX,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
52,Albert Health,,,technology_ai,,,,,Albert Health,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
53,Alefredo EdTech,,,technology_ai,,,,,Alefredo EdTech,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
54,Alem,,,technology_ai,,,,,Alem,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
55,ALFIA Holding,,,technology_ai,,,,,ALFIA Holding,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
56,Algebra Intelligence,,,technology_ai,,,,,Algebra Intelligence,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
57,Alhulul Company Administration,,,technology_ai,,,,,Alhulul Company Administration,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
58,Alice Labs L.L.C FZ,,,technology_ai,,,,,Alice Labs L.L.C FZ,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
59,Aliph Pay,,,technology_ai,,,,,Aliph Pay,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
60,AlJammaz Technologies Limited,,,technology_ai,,,,,AlJammaz Technologies Limited,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
61,Alkan Arabia for communications,,,technology_ai,,,,,Alkan Arabia for communications,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
62,Alkhaleej Training & Education,,,technology_ai,,,,,Alkhaleej Training & Education,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
63,Alkora,,,technology_ai,,,,,Alkora,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
64,AllyTech,,,technology_ai,,,,,AllyTech,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
65,Almoayyed Computers Middle East WLL,,,technology_ai,,,,,Almoayyed Computers Middle East WLL,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
66,Almutanabi Quant Solutions,,,technology_ai,,,,,Almutanabi Quant Solutions,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
67,Alpha Consulting Group,,,technology_ai,,,,,Alpha Consulting Group,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
68,Altaius,,,technology_ai,,,,,Altaius,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
69,Altatawwar,,,technology_ai,,,,,Altatawwar,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
70,Altawaqo Wa Altamakon,,,technology_ai,,,,,Altawaqo Wa Altamakon,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
71,Alteryx MEA FZ-LLC,,,technology_ai,,,,,Alteryx MEA FZ-LLC,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
72,"Alwasaet Alelmyah for Trading Co., Ltd",,,technology_ai,,,,,"Alwasaet Alelmyah for Trading Co., Ltd","Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
73,Amazon Web Services EMEA SARL,,,technology_ai,,,,,Amazon Web Services EMEA SARL,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
74,Ambersand Technologies,,,technology_ai,,,,,Ambersand Technologies,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
75,AMD,,,technology_ai,,,,,AMD,"Official listing exposes company name only; stand, country, sector, and website not visible in the public card.",https://onegiantleap.com/exhibit/our-2026-exhibitors
76,Amwaj Telecommunication MFG,,,technology_ai,,,,,Amwaj Telecommunication MFG,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
77,Anbta,,,technology_ai,,,,,Anbta,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
78,"Anhui Zhongke Lingxi Technology Co., LTD. Hefei, Anhu",,,technology_ai,,,,,"Anhui Zhongke Lingxi Technology Co., LTD. Hefei, Anhu","Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
79,ANKH Corporation Ltd,,,technology_ai,,,,,ANKH Corporation Ltd,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
80,ANSEMIA,,,technology_ai,,,,,ANSEMIA,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
81,Anzimat Wafra Company For Information Technology,,,technology_ai,,,,,Anzimat Wafra Company For Information Technology,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
82,Apex Squared,,,technology_ai,,,,,Apex Squared,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
83,APGAR,,,technology_ai,,,,,APGAR,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
84,Aqua Development Ltd,,,technology_ai,,,,,Aqua Development Ltd,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
85,AQUIVIO Arabia LLC,,,technology_ai,,,,,AQUIVIO Arabia LLC,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
86,Arabia Indicators Company for Telecommunications and Technology (Kayyel),,,technology_ai,,,,,Arabia Indicators Company for Telecommunications and Technology (Kayyel),"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
87,Arabian Flying Cars - Aerospace Industry (Operating under Tradebone Group),,,technology_ai,,,,,Arabian Flying Cars - Aerospace Industry (Operating under Tradebone Group),"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
88,Arbling Technologies FZ- LLC,,,technology_ai,,,,,Arbling Technologies FZ- LLC,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
89,ARdealy,,,technology_ai,,,,,ARdealy,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
90,Argami Platform,,,technology_ai,,,,,Argami Platform,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
91,ARIS,,,technology_ai,,,,,ARIS,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
92,Arista Networks Ltd.,,,technology_ai,,,,,Arista Networks Ltd.,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
93,Arkanpro,,,technology_ai,,,,,Arkanpro,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
94,Arrebal Information Technology,,,technology_ai,,,,,Arrebal Information Technology,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
95,Arwa Solutions,,,technology_ai,,,,,Arwa Solutions,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
96,Asas Alsahab Co - RoboNex Lab,,,technology_ai,,,,,Asas Alsahab Co - RoboNex Lab,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
97,Asilla Inc.,,,technology_ai,,,,,Asilla Inc.,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
98,Aspired Health,,,technology_ai,,,,,Aspired Health,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
99,ASRock Rack Inc.,,,technology_ai,,,,,ASRock Rack Inc.,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
100,Assure Techno Trading Company (Assuretek),,,technology_ai,,,,,Assure Techno Trading Company (Assuretek),"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors
101,Astan,,,technology_ai,,,,,Astan,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
102,Atlas Metrics,,,technology_ai,,,,,Atlas Metrics,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
103,Atomica AI,,,technology_ai,,,,,Atomica AI,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
104,Audience Jet FZ-LLC,,,technology_ai,,,,,Audience Jet FZ-LLC,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
105,Aunkur AI,,,technology_ai,,,,,Aunkur AI,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
106,Authena,,,technology_ai,,,,,Authena,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
107,Autilent,,,technology_ai,,,,,Autilent,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
108,Automarket,,,technology_ai,,,,,Automarket,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
109,Averest LLC,,,technology_ai,,,,,Averest LLC,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
110,Avientek Trading LLC,,,technology_ai,,,,,Avientek Trading LLC,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
111,"Axalio Technologies, Inc.",,,technology_ai,,,,,"Axalio Technologies, Inc.","Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
112,Axelerated Solutions,,,technology_ai,,,,,Axelerated Solutions,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
113,Axis Digital Limited,,,technology_ai,,,,,Axis Digital Limited,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
114,Aya,,,technology_ai,,,,,Aya,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
115,Aydi Technologies FZCO,,,technology_ai,,,,,Aydi Technologies FZCO,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
116,Aynigma Security Solutions,,,technology_ai,,,,,Aynigma Security Solutions,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
117,AZA Petrosolutions,,,technology_ai,,,,,AZA Petrosolutions,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
118,Banana,,,technology_ai,,,,,Banana,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
119,BARQ Systems,,,technology_ai,,,,,BARQ Systems,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
120,Baytinn,,,technology_ai,,,,,Baytinn,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
121,BBT ANTENNAS INC,,,technology_ai,,,,,BBT ANTENNAS INC,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
122,BCARE,,,technology_ai,,,,,BCARE,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
123,Beekee SA,,,technology_ai,,,,,Beekee SA,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
124,Beem Digital Company Ltd,,,technology_ai,,,,,Beem Digital Company Ltd,"Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
125,"Beijing Guang Run Tong Technology Development Co., Ltd",,,technology_ai,,,,,"Beijing Guang Run Tong Technology Development Co., Ltd","Official LEAP listing exposes company name only; stand, country, sector, and website not visible in the accessible public text.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
126,"Beijing HengzhengTC Sci-Tech Co.,Ltd.",,,,,,,,"Beijing HengzhengTC Sci-Tech Co.,Ltd.","Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
127,bellboy,,,,,,,,bellboy,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
128,Bench Information Technology Company,,,,,,,,Bench Information Technology Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
129,Bevatel,,,,,,,,Bevatel,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
130,Beyond Genomix,,,,,,,,Beyond Genomix,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
131,Bilge Adam Yazilim Ve Teknoloji Anonim Sirketi,,,,,,,,Bilge Adam Yazilim Ve Teknoloji Anonim Sirketi,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
132,Binzoomah Tech Company,,,,,,,,Binzoomah Tech Company,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
133,Biobytes Co. Ltd.,,,,,,,,Biobytes Co. Ltd.,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
134,BIOSTAR Microtech Int'l Corp,,,,,,,,BIOSTAR Microtech Int'l Corp,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
135,Bites,,,,,,,,Bites,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
136,BitMal,,,,,,,,BitMal,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
137,Bizzdesign B.V.,,,,,,,,Bizzdesign B.V.,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
138,Blackheath Point Limited,,,,,,,,Blackheath Point Limited,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
139,BlackStone eIT,,,,,,,,BlackStone eIT,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
140,Blaize,,,,,,,,Blaize,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
141,Blaze,,,,,,,,Blaze,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
142,Blend,,,,,,,,Blend,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
143,Blinq Solutions,,,,,,,,Blinq Solutions,"Official rendered listing exposes company name only; stand, country, sector, and website not visible in the card.",https://onegiantleap.com/exhibit/our-2026-exhibitors?page=1
