raw_row_number,company_name_raw,stand_no,sector,products,country,website_text,website_url,company_column,details
25,"Al Mahalliah Trading & Agriculture Co., Ltd.",1-410,"Crop Farming, Aquaculture","Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Aquaculture Materials, Aquaculture Nutrition, Aquaculture Systems & Technologies",Saudi Arabia,www.almahalliah.com,http://www.almahalliah.com,"Al Mahalliah Trading & Agriculture Co., Ltd.","AL-Mahalliah Trading & Agriculture Co., Ltd. Import, wholesale and distribution of full range of organic inputs (Bio-Insecticides, Bio-Fungicides, Bio-Fertilizers). Import, wholesale of field crops, fooder, vegetable seeds. Import, wholesale, distribution of chemical fertilizers, pesticides and fungicides, soil conditioning products. Import of composting machinery, food processing plants and agricultural machineries."
26,"Al Muneef for Trade, Industry, Agriculture and Contracting",1-340,Crop Farming,"Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",Saudi Arabia,almuneefagri.com,http://almuneefagri.com,"Al Muneef for Trade, Industry, Agriculture and Contracting","Al Muneef Company is in the Saudi stock market, and it is a company in that has been built since 1984, we are growing in the Saudi kingdom, and we have 15 brunches fully with a smart agri engineering, we have around 130 agri products."
27,Al Ousaimi Group Co. for Trading,5-151,Crop Farming,"Fertilizers & Pesticides, Nurseries, Landscaping",Saudi Arabia,www.ousaimi.com.sa,http://www.ousaimi.com.sa/,Al Ousaimi Group Co. for Trading,
28,Al Rafiq Greenhouses Company,4-487,,,Jordan,,,Al Rafiq Greenhouses Company,
29,Al Rajhi and Al-Misfer Agricultural Co.,4-239,Crop Farming,"Crop Protection, Fertilizers & Pesticides",Saudi Arabia,www.alrajhiagriculturecompany.com,http://www.alrajhiagriculturecompany.com/,Al Rajhi and Al-Misfer Agricultural Co.,"Al-Rajhi and Al-Misfer Agricultural Company is one of the first agricultural companies in the Kingdom of Saudi Arabia, founded in 1984, the main administrative office is located in the capital, Riyadh, and it has 9 branches distributed over most of the main agricultural areas in the Kingdom of Saudi Arabia, which are located in the following regions: Wadi Al-Dawasir, Al-Kharj, Riyadh, Qassim, Sajir, Hail, Taberjal, Tabuk, and Dammam.Al-Rajhi and Al-Misfer Agricultural Company have an agency for SABIC fertilizers, which includes many materials, the most important of them are Urea fertilizer and DAP fertilizer.Al-Rajhi and Al-Misfer Agricultural Company is committed to providing agricultural services at a technical and innovative level in all local and international markets, and the company provides all agricultural services to farmers of wheat, barley, fodder crop and vegetables, through different types of fertilizers, seeds, and pesticides"
30,Al Rajhia Dates Company for Agricultural Production (RAPCO),1-329,Organic & Agro-Food,Agro-Food Production & Processing,Saudi Arabia,erp.awqafrajhi.sa,http://erp.awqafrajhi.sa/,Al Rajhia Dates Company for Agricultural Production (RAPCO),
31,Al Rawda Factory,4-150,"Agriculture Technologies, Crop Farming","Greenhouses Solutions, Crop Protection, Landscaping & Nurseries",Saudi Arabia,www.rgh.com.sa,http://www.rgh.com.sa/,Al Rawda Factory,Is the first Saudi factory specialized in the green house industry to be established.
32,Al Raya Specialities Industrial Company,5-104,,,Saudi Arabia,,,Al Raya Specialities Industrial Company,
33,Al Taleb Group,1-330,Crop Farming,"Fertilizers & Pesticides, Landscaping & Nurseries",Saudi Arabia,www.altalebgroup.com,http://www.altalebgroup.com,Al Taleb Group,"As a trading company of the leading companies working in agricultural chemicals, seeds, agricultural machinery, fertilizers and others in the Kingdom of Saudi Arabia since 1985, the company has a team of highly qualified and experienced employees working according to a professional system with the aim of providing excellent services to everyone at the international and local levels, and even At this time, the company has succeeded in maintaining long-term business relationships with many famous companies around the world, such as Spain, Belgium, America, England, China, India, and various countries in the Middle East.The company started with one branch for agricultural products to reach today 14 branches distributed over the regions of the Kingdom to provide the company's products and services to all our customers in the Kingdom."
34,Al Tanseeq Co.,5-320,Agriculture Technologies,Greenhouses Solutions,Saudi Arabia,,,Al Tanseeq Co.,
35,Al Wasail Industrial Company,4-210,Agriculture Technologies,AI & Smart Applications,Saudi Arabia,alwasail.com,http://alwasail.com,Al Wasail Industrial Company,Al Wasail Industrial Company’s vision is to become the local market leader in High Density Polyethylene (HDPE) and fitting producer serving contractors and farmers with complete quality solution.
36,Al Watania Agriculture Company,1-360,Agro-Food Processing & Packaging,Agro-Food Production & Processing,Saudi Arabia,www.watania-agri.com,http://www.watania-agri.com,Al Watania Agriculture Company,
37,Al Yaseen Agriculture Co.,4-439,"Aquaculture, Official Agency","Aquaculture Systems & Technologies, Trade Association, Trade Promotion Council",Saudi Arabia,www.alyaseenagri.com,http://www.alyaseenagri.com,Al Yaseen Agriculture Co.,"ALYASEEN AGRI is a leading company in many agricultural fields in Saudi Arabia, its reputation isbuilt with over 45 years of experience in the Saudi Agricultural market. Since its establishment, itadopted a vision of (Achieving Leadership and Excellence in the Saudi Agriculture market).ALYASEEN AGRI always searches international markets for new agricultural technologies that meetthe needs of its customers and economically viable, which adds value to the products of its customersfrom individuals to large agricultural companies in Saudi. ALYASEEN AGRI provides its service tovegetable, fruit, winter forage, gardening, and nursery growers through its 12 branches covering all theKingdom’s agricultural regions. Each branch is equipped with excellent technical staff to support salesof its quality solutions and reasonable prices..ALYASEEN AGRI uses its dedicated Trail Station to study and assure that new products andtechnologies are suitable for Saudi environment and local agriculture practices before introducing themto the market.ALYASEEN AGRI signed exclusivity contracts with major suppliers from USA, Europe, Asia, andAfrica in various fields such as seeds, agrochemicals, fertilizers, and a range of other agricultural inputs.ALYASEEN AGRI continues to fulfill its vision by always looking for new agricultural technologies.In recent years, ALYASEEN AGRI created marketing divisions to extend its services to the agriculturalsector to include Integrated Pest Management (IPM), Gardening / Public Health, Machinery, and AgriTechnology and division of Netra."
38,Alliance Food Security Holding LLC,1-486,,,UAE,,,Alliance Food Security Holding LLC,
39,Almarai,1-110,Organic & Agro-Food,"Dairy Products, Frozen Foods, Dried & Canned Foods, Honey & Dates, Meat Products, Poultry & Fish Products, Spices & Oil",Saudi Arabia,www.almarai.com,http://www.almarai.com,Almarai,"Founded in 1977, Almarai Company is the world’s largest vertically integrated dairy company and the largest food and beverage manufacturing and distribution company in MENA. Headquartered in the Kingdom of Saudi Arabia, Almarai Company is ranked as the number one FMCG Brand in the MENA region and the market leader in all its categories across the GCC.With more than 48 years of sustainable growth, Almarai Company continues to provide nutritious and healthy products to consumers of all ages with its growth stemming from its bedrock principle, “Quality you can trust”. Almarai has expanded its product range to include, in addition to dairy products, juices and beverages, baked goods, poultry, infant formula, dates, fish and seafood, and bottled water, under more than 20 brands such as Almarai, L’usine, 7DAYS, ALYOUM, Nuralac, Farm’s Select, Ice Leaf, Almira, Seama, Oska, IVAL, Almara Pro, Premier Chef, Bakemart and others. In 2024, Almarai reported net income of SAR 2.31 billion on sales of SAR 20.98 billion."
40,Altintar Tarim A.Ş,3-189,,,Turkiye,altintar.com,http://altintar.com/,Altintar Tarim A.Ş,
41,"Alvan Blanch Development Co., Ltd.",1-550,Crop Farming,"Crop Protection, Farming Technologies",United Kingdom,www.alvanblanchgroup.com,http://www.alvanblanchgroup.com,"Alvan Blanch Development Co., Ltd.","Alvan Blanch is a family-owned business, established over 70 years ago and manufacturing equipment at our highly automated factory in the United Kingdom. We supply equipment to many parts of the world; we are honored to have been supporting Middle East Agriculture for more than 40 years and have a large customer base in the region. We can provide specialized feed milling plants including steam flaking for ruminant feeds, seed cleaning, automated bag filling lines, grain silos and the associated inventory management systems. We provide driers for a large range of products; all the plants include automated control systems. We are specialists at remodeling existing plants; we are proud of our flexibility and processing knowledge to adapt to customers’ unique requirements. After-sales technical support is provided with service engineers from our office and company in Dubai."
42,Andritz Feed & Biofuel S/S,1-270,,,Denmark,,,Andritz Feed & Biofuel S/S,
43,"Angel Yeast Co., Ltd.",1-482,"Poultry Livestock & Dairy Farming, Aquaculture","Animal Health & Technologies, Feeds & Additives, Livestock Technologies, Aquaculture Nutrition",China,en.angelyeast.com,http://en.angelyeast.com,"Angel Yeast Co., Ltd.","Angel is a global yeast and biotech company that develops natural ingredient solutions for the food & beverage, nutritional, and biotechnology industries. Angel Yeast was founded in 1986. Angel Yeast Co., Ltd was listed on the Shanghai Stock Exchange in 2000. “Developing yeast biotechnology, innovate for a healthy life” is our mission. We study how biotechnology can change our lifestyles for the better and help us live in harmony with nature. As a yeast supplier with a global presence, Angel has 33 Production Facilities across the globe, with products and services supplied to more than 170 countries and regions."
44,Arab World Agribusiness Magazine,1-194,Official Agency,Media Partner,Bahrain,www.fanarpublishing.net,http://www.fanarpublishing.net,Arab World Agribusiness Magazine,"Arab World Agribusiness (AWA) is the only farm journal produced in an Arab Country, published by Fanar Publishing Co. WLL of Bahrain since 1985. For 41 years, AWA has emerged as the Arab World's highest circulation magazine for agriculture. With over 18,715 copies distributed largely among Arab farmers, policymakers and researchers. AWA has become the most reliable source of information. Besides the printed copies distribution, we send electronic copy by email with direct link to all concerned people in agriculture and food field and magazine subscribers (20,000) in every issue free of charge. Moreover, we launch each issue of the magazine on our website as soon as it is published.Arab Agriculture: AWA has a prestigious annual yearbook. ""Arab Agriculture"" which is an encyclopedia of information on Arab Agriculture and suppliers of farm technology worldwide, arranged product-wise and country-wise. Arab Agriculture gives indispensable information vitally needed for developing trade contacts presented in an easy-to-read style."
45,ARASCO (Arabian Agricultural Services Co.),3-230,,,Saudi Arabia,,,ARASCO (Arabian Agricultural Services Co.),
46,Areen Najd Trading Est.,4-296,,,Saudi Arabia,,,Areen Najd Trading Est.,
47,Artat Enterprise,2-240,"Organic & Agro-Food, Agriculture Technologies, Crop Farming, Poultry Livestock & Dairy Farming, Aquaculture","Dairy Products, Frozen Foods, Dried & Canned Foods, Honey & Dates, Meat Products, Poultry & Fish Products, Spices & Oil, Greenhouses Solutions, Hydroponics, Smart Farming, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Animal Health & Technologies, Feeds & Additives, Livestock Technologies, Poultry Systems & Technologies, Aquaculture Materials, Aquaculture Nutrition",Saudi Arabia,www.artat.com.sa,http://www.artat.com.sa,Artat Enterprise,"ARTAT Enterprise, founded in the Kingdom of Saudi Arabia in 2003, is a fast-growing company that specialized initially in Animal Health and Nutrition Solutions mainly for Livestock and Poultry. We have managed successfully to establish a profound network of trusted customers who have invited us to extend our services to cover various solutions from FARM to FORK. We have allied with multiple departments that provide integrated solutions: Animal Health & Nutrition, Farm Biosecurity measures & Equipment, and Food Safety Diagnostics. Our rich portfolio allowed us to provide thousands of products and customized solutions to livestock industries & organizations worldwide where we were awarded to be the sole PARTNER of many international manufacturers of feed, feed additives, vaccines, diagnostics & many others. ARTAT is proud to have some of the best animal nutritionists and consultants who have a wealth of experience extending to 60+ years and are passionate about their knowledge and experience with all customers. They also provide customized solutions that customers need and ensure more production. Our vision for ARTAT is to be referred to as the most favorable company for the supply of Animal Health and Food Safety Solutions to the Livestock & Food Production Industries with a focus on QUALITY, SERVICE & CUSTOMER Involvement."
48,Artigianfer Srl,4-492,,,Italy,,,,
49,Asasiat Development for Agriculture & Trade Co.,5-249,"Agriculture Technologies, Crop Farming","Greenhouses Solutions, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",Saudi Arabia,www.asasiatsa.com,http://www.asasiatsa.com,Asasiat Development for Agriculture & Trade Co.,"The company provides imported agricultural production inputs, such as fertilizers, pesticides, seeds, and spare parts, and has been in this field for over 30 years. It has exclusive agencies for more than 85 products from around the world for major agricultural companies. It has 10 branches serving all agricultural regions of the Kingdom."
50,Ashapura International Limited,3-174,,,India,,,,
51,"ASM Process Automation (Ali Magboul Trade Co., Ltd.)",4-389,"Agriculture Technologies, Poultry Livestock & Dairy Farming, Agro-Food Processing & Packaging","AI & Smart Applications, Poultry Systems & Technologies, Agro-Food Packaging, Agro-Food Production & Processing",Saudi Arabia,www.asm.net,http://www.asm.net,"ASM Process Automation (Ali Magboul Trade Co., Ltd.)","ASM PROCESS AUTOMATIONCertified Siemens Solution Partner – EXPERT Level (Middle East)With over 15 years of experience, ASM Process Automation is the only Siemens-certified EXPERT in the Middle East, delivering high-performance industrial automation solutions.We provide turnkey systems and specialized expertise in Feeds, Flour, Sugar, Silos, Bagging, Weighing, Dosing, and Cooling. ASM collaborates with leading international partners from France, Germany, and Italy to ensure cutting-edge, reliable, and cost-effective automation technologies.Our structured approach, strong technical skills, and fast local support have earned us a solid reputation and long-standing client satisfaction across GCC countries.ASM is committed to delivering not only innovative solutions but also outstanding after-sales service that keeps operations running smoothly. Choose ASM — where quality, efficiency, and trusted expertise come together."
52,Astra Agricultural Company Ltd.,3-139,"Crop Farming, Poultry Livestock & Dairy Farming","Crop Protection, Fertilizers & Pesticides, Feeds & Additives",Saudi Arabia,www.astrachem.net,http://www.astrachem.net,Astra Agricultural Company Ltd.,"Astra Agricultural Company is a member of Astra Industrial Group (AIG). Established in 1988 and is a well-known contributor in the horticultural and agricultural sector in KSA and other neighboring countries through its sister company Astrachem, as hundreds of farmers depend on Astra to supply their requirements of high-quality inputs from reputable resources. Products include:Fertilizers: Powder, Granular, Florabelle, Liquid and Suspension (Astrachem-KSA), Chelated Micronutrients (BASF – Germany & UK), Straight Fertilizers (Various international sources).Agrochemicals: Insecticides, Fungicides, Herbicides, Public Health and Vet. Pesticides, Additives and Adjuvants (Astrachem-KSA), FMC Corp. – USA, UPL – India and Agrostulln GmbH – Germany. Quality Hybrid Vegetable Seeds: Monsanto (DeRuiter / Seminis Seeds) – Holland, Bejo Zaden – Holland, US Agri Seeds – USA, Klein Karoo – Holland, Ergon International – Holland, East West International – Thailand, Seed Potatoes from Agrico – Holland, Peatmoss & Potting Soil from Kekkila – Finland. Veterinary Products: Cenavisa – Spain, Intas Pharmaceuticals – India, Ectoparasiticides from ASTRACHEM – KSA. In addition to many other products related to horticultural and agricultural sectors."
53,Avagro Tarim,3-192,Crop Farming,Fertilizers & Pesticides,Turkiye,www.avagro.com.tr,http://www.avagro.com.tr/,Avagro Tarim,"Avagro Agriculture Chemistry is established in 2013 at the Antalya Organized Industrial Zone on the wholesaler complex. From day one, it gives great importance to Research and Development (R&D). With its R&D Laboratory, which has been developed with expert chemists, Avagro has set the principles of transparency, honesty, mutual respect, adherence to ethical values, and sensitivity to environment and social responsibility to the basis of both its products and commercial activities."
54,Aytok Filtre Sistemleri Plastik Makina Diş Ticaret Ltd Şti,3-188,"Agriculture Technologies, Aquaculture, Crop Farming","Greenhouses Solutions, Smart Farming, Smart Irrigation, Aquaculture Systems & Technologies, Farming Technologies",Turkiye,www.aytokfiltre.com,http://www.aytokfiltre.com,Aytok Filtre Sistemleri Plastik Makina Diş Ticaret Ltd Şti,"Aytok has been delivering industry leading water filtration solutions for industrial and agricultural applications since 1997. From our cutting edge 30,000 m² facility, we manufacture plastic, automatic and media filters, advanced valves, and irrigation systems—powered by our 2.5 million kWh/year rooftop solar array. With robotic welding, state of the art automation and upcoming IoT connectivity, we’re driving a full digital transformation.Our R&D team engineers tailored systems—featuring innovations like the Flushcore® smart controller and Hydrofilt® self cleaning filters—to meet diverse field requirements. Rigorous quality control at every stage ensures reliability and a customer satisfaction rate above 90%. Serving clients in over 90 countries, Aytok is your solution partner for sustainable, efficient water management.Visit us to explore “Beyond Filtration, Beyond Limits.”"
55,Beijing Kingpeng International Hi-Tech Corporation,1-481,Agriculture Technologies,"AI & Smart Applications, Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Vertical Farming",China,www.chinakingpeng.com,http://www.chinakingpeng.com,Beijing Kingpeng International Hi-Tech Corporation,"Kingpeng, as a member enterprise of Sunlon Group, started from 1950s, Kingpeng has been involved on greenhouse business for 60 years, and is the only listed Greenhouse Company in China Stock Market. As a leading greenhouse manufacture and exporter from China, Kingpeng provides service of greenhouse design, production and installation with various functions. Domestic business covers from Nansha in the south to Mohe in the north, projects distributed in 31 provinces and autonomous regions. Its international business exports to more than 60 countries and regions and has won wide recognition from customers both domestic and abroad."
56,"Beijing Sangreen Co., Ltd.",1-382,"Agriculture Technologies, Aquaculture","Greenhouses Solutions, Hydroponics, Smart Farming, Smart Irrigation, Vertical Farming, Aquaculture Systems & Technologies",China,www.sangreenhouse.com,http://www.sangreenhouse.com,"Beijing Sangreen Co., Ltd.","SANGREEN is a professional greenhouse manufacturer and exporter from China, Sangreen provides service of greenhouse design, production and installation with various functions.Up to now, Sangreen team has the experiences of exporting greenhouse products to more than 50 countries, including Kuwait, Oman, Qatar, Saudi Arabia, and UAE in the gulf region. Now, the comprehensive services and solutions have made Sangreen become an important player in horticultural sector around the world."
57,Bene Meat Technologies A.S.,1-463,,,Czech Republic,,,,
58,Beta Fidan Tissue Culture & Breeding,5-119,"Organic & Agro-Food, Crop Farming","Spices & Oil, Farming Technologies, Landscaping & Nurseries",Turkiye,www.betafidan.com.tr,http://www.betafidan.com.tr/,Beta Fidan Tissue Culture & Breeding,"Since 1992, BETA FIDAN TISSUE CULTURE & BREEDING has been producing certified and disease-free fruit plants, including olive, almond, plum, nectarine, peach, apricot, cherry, berries, and more. The company runs its own active breeding program and holds patents for several innovative stone fruit varieties. BETA operates a state-of-the-art tissue culture laboratory with an annual capacity of 3 million units, specializing in clonal rootstocks such as Garnem, GF, 29C, and Gisela. In addition to plant production, BETA designs and implements turnkey irrigation systems and provides technical consultancy to growers. With extensive experience in propagation, breeding, and orchard development, BETA serves both domestic and international markets. Today, the company exports to over 25 countries, supplying high-quality plant material backed by professional engineering team. Committed to innovation, reliability, and long-term grower success, BETA continues to be a trusted partner in modern fruit production."
